precipitation,temp_max,start_date,end_date,day,year,month
0.0,6.7,2012-02-28,2012-03-03,27,2012,2
3.6,6.7,2012-02-29,2012-03-04,28,2012,2
0.8,5.0,2012-03-01,2012-03-05,29,2012,2
0.0,6.1,2012-03-02,2012-03-06,1,2012,3
2.0,6.7,2012-03-03,2012-03-07,2,2012,3
0.0,12.2,2012-03-04,2012-03-08,3,2012,3
0.0,10.6,2012-03-05,2012-03-09,4,2012,3
6.9,7.8,2012-03-06,2012-03-10,5,2012,3
0.5,6.7,2012-03-07,2012-03-11,6,2012,3
0.0,8.9,2012-03-08,2012-03-12,7,2012,3
0.0,15.6,2012-03-09,2012-03-13,8,2012,3
3.6,9.4,2012-03-10,2012-03-14,9,2012,3
10.4,7.2,2012-03-11,2012-03-15,10,2012,3
13.7,6.7,2012-03-12,2012-03-16,11,2012,3
19.3,8.3,2012-03-13,2012-03-17,12,2012,3
9.4,5.6,2012-03-14,2012-03-18,13,2012,3
8.6,7.8,2012-03-15,2012-03-19,14,2012,3
23.9,11.1,2012-03-16,2012-03-20,15,2012,3
8.4,8.9,2012-03-17,2012-03-21,16,2012,3
9.4,10.0,2012-03-18,2012-03-22,17,2012,3
3.6,5.0,2012-03-19,2012-03-23,18,2012,3
2.0,7.2,2012-03-20,2012-03-24,19,2012,3
3.6,7.8,2012-03-21,2012-03-25,20,2012,3
1.3,8.9,2012-03-22,2012-03-26,21,2012,3
4.1,10.0,2012-03-23,2012-03-27,22,2012,3
0.0,12.2,2012-03-24,2012-03-28,23,2012,3
0.0,15.0,2012-03-25,2012-03-29,24,2012,3
0.0,13.3,2012-03-26,2012-03-30,25,2012,3
0.0,12.8,2012-03-27,2012-03-31,26,2012,3
4.8,14.4,2012-03-28,2012-04-01,27,2012,3
1.3,10.6,2012-03-29,2012-04-02,28,2012,3
27.4,10.0,2012-03-30,2012-04-03,29,2012,3
5.6,9.4,2012-03-31,2012-04-04,30,2012,3
13.2,10.0,2012-04-01,2012-04-05,31,2012,3
1.5,8.9,2012-04-02,2012-04-06,1,2012,4
0.0,16.7,2012-04-03,2012-04-07,2,2012,4
1.5,11.7,2012-04-04,2012-04-08,3,2012,4
0.0,10.6,2012-04-05,2012-04-09,4,2012,4
4.6,9.4,2012-04-06,2012-04-10,5,2012,4
0.3,11.1,2012-04-07,2012-04-11,6,2012,4
0.0,16.1,2012-04-08,2012-04-12,7,2012,4
0.0,21.1,2012-04-09,2012-04-13,8,2012,4
0.0,20.0,2012-04-10,2012-04-14,9,2012,4
